	LN	LN	LN	LN	LN	NL	NL	NL	NL	NL	NN	NN	NN	NN	NN
 ENSMUSG00000070063	10	42	59	31	45	8	9	12	11	16	38	8	40	56	29
 ENSMUSG00000065715	4	9	5	36	18	16	19	22	21	30	10	16	12	18	5
 ENSMUSG00000077709	28	28	22	84	96	36	30	78	30	83	29	37	27	24	16
 ENSMUSG00000098943_> ENSMUSG00000099291_> ENSMUSG00000104896_> ENSMUSG00000105115	10094	1199	1301	9994	4410	2005	3691	5385	6864	2748	1699	3084	5032	2075	1778
 ENSMUSG00000064871	126	255	202	192	259	59	59	160	83	126	282	131	215	224	318
 ENSMUSG00000077701	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000077702	1848	2108	1729	1231	2013	1019	1043	1904	918	1442	2733	1417	2181	2211	2954
 ENSMUSG00000077704	147	290	265	160	215	40	33	99	33	50	312	107	288	288	381
 ENSMUSG00000065728	23	86	49	45	82	31	38	39	33	48	75	27	66	94	95
 ENSMUSG00000088848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000084487	4004	3510	2537	1725	3435	4492	5068	7597	4044	6102	5636	3244	4326	4384	5519
 ENSMUSG00000064751	13286	23723	18604	15745	28390	6086	6488	16879	4501	8984	29968	10865	21084	24658	29156
 ENSMUSG00000064994	1	4	0	3	0	1	0	1	0	3	4	0	2	2	3
 ENSMUSG00000064995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
 ENSMUSG00000064513	24	28	52	35	56	5	10	21	7	15	79	21	64	64	57
 ENSMUSG00000064634	9	9	8	43	50	40	42	64	57	74	11	9	15	5	16
 ENSMUSG00000064514	7479	8624	6500	6073	9218	4324	4536	9590	3532	5304	9866	5740	7279	7786	10633
 ENSMUSG00000065847	4	5	7	8	10	4	5	6	2	3	7	3	4	2	3
 ENSMUSG00000064637	6	18	7	45	69	5	14	33	19	18	16	15	12	15	20
 ENSMUSG00000065725	0	2	2	1	0	0	2	3	0	1	2	2	2	0	2
 ENSMUSG00000094154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000064880	0	0	0	0	2	1	2	0	1	2	1	0	0	1	0
 ENSMUSG00000096455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
